,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude,altitude
8631,MMR007011032,Naung Bo,နောင်ဘို,ကျေးရွာအုပ်စု,Village Tract,"နောင်ဘို, ပဲခူးခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), Myanmar","(17.06793, 96.701637, 0.0)",17.06793,96.701637,0.0
8632,MMR007011033,Kyet Thaung Taung,ကြက်သောင်းတောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8633,MMR007011034,Kwee Lar,ကွီးလာ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8634,MMR007011035,Kat Pei Lan Khwe,ကပ်ပယ်လမ်းခွဲ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8635,MMR007011036,Zint Kar,ဇင့်ကာ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8636,MMR007011037,Khe Doe,ခဲဒိုး,ကျေးရွာအုပ်စု,Village Tract,,,,,
8637,MMR007011038,Kyay See (South),ကျေးစီး(တောင်),ကျေးရွာအုပ်စု,Village Tract,,,,,
8638,MMR007011039,Yae Pu,ရေပူ,ကျေးရွာအုပ်စု,Village Tract,"ရေပူ Ye Bu, Myeik District, Tanintharyi Region, Myanmar","(13.1922342, 98.6895847, 0.0)",13.1922342,98.6895847,0.0
8639,MMR007011040,Khu Hmaing,ခူမှိုင်း,ကျေးရွာအုပ်စု,Village Tract,,,,,
8640,MMR007011041,Htee Yoe Baw Ta Htar,ထီးရိုးဘောတထာ,ကျေးရွာအုပ်စု,Village Tract,,,,,
8641,MMR007011042,Seik Chaung,ဆိပ်ချောင်,ကျေးရွာအုပ်စု,Village Tract,,,,,
8642,MMR007011043,Pa Dar,ပဒါး,ကျေးရွာအုပ်စု,Village Tract,,,,,
