,pcode,area_name_en,area_name_mm,area_type_mm,area_type_en,location,point,latitude,longitude
8014,MMR006010003,Ah Twin Bokpyin,အတွင်းဘုတ်ပြင်း,ကျေးရွာအုပ်စု,Village Tract,"Atwin Bokepyin အတွင်းဘုတ်ပြင်း, Padauk Street, ဘုတ်ပြင်း, Kawthoung District, Tanintharyi Region, Myanmar","(11.241536, 98.7959726, 0.0)",11.241536,98.79597259999998
8022,MMR006010011,Shwe Ge Nyo,ရွှေဂဲညို,ကျေးရွာအုပ်စု,Village Tract,"ရွှေဂဲညို Shwe Ge Nyo, ဘုတ်ပြင်း, Kawthoung District, Tanintharyi Region, Myanmar","(11.6841466, 98.782593, 0.0)",11.6841466,98.782593
8023,MMR006010012,Ma Noe Yone,မနိုးရုံး,ကျေးရွာအုပ်စု,Village Tract,"မနိုးရုံး Manoron, ဘုတ်ပြင်း, Kawthoung District, Tanintharyi Region, Myanmar","(11.6309627, 99.0646917, 0.0)",11.6309627,99.0646917
8024,MMR006010013,Kawt But,ကော့ဘွတ်,ကျေးရွာအုပ်စု,Village Tract,"ကော့ဘွတ် Kaw But, ဘုတ်ပြင်း, Kawthoung District, Tanintharyi Region, Myanmar","(11.566806, 98.9987844, 0.0)",11.566806,98.9987844
8029,MMR006010018,Ma Thay,မသေ,ကျေးရွာအုပ်စု,Village Tract,"Metz, Moselle, Grand Est, France métropolitaine, France","(49.1196964, 6.1763552, 0.0)",49.119696399999995,6.176355200000001
8034,MMR007001003,Hmon Taing,မှုန်တိုင်း,ကျေးရွာအုပ်စု,Village Tract,"မှုန်တိုင်း, ပဲခူးခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), 08015, Myanmar","(17.130939, 96.408501, 0.0)",17.130939,96.408501
8041,MMR007001010,Oe Bo,အိုးဘို,ကျေးရွာအုပ်စု,Village Tract,"Oe Bo, အမရပူရ, မန္တလေးခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.89425445, 96.07451668151899, 0.0)",21.89425445,96.074516681519
8045,MMR007001014,Hpa Yar Gyi,ဘုရားကြီး,ကျေးရွာအုပ်စု,Village Tract,"ဘုရားကြီး, ပဲခူးခရိုင်, ပဲခူးတိုင်းဒေသကြီး အရှေ့ခြမ်း, ပဲခူးတိုင်းဒေသကြီး (Bago), 08013, Myanmar","(17.4743026, 96.5249877, 0.0)",17.4743026,96.5249877
8048,MMR007001017,Ah Waing,အဝိုင်း,ကျေးရွာအုပ်စု,Village Tract,"ဦးဝိစာရ အဝိုင်း, ဒဂုံ, ရန်ကုန်, Western District, ရန်ကုန်တိုင်းဒေသကြီး, Myanmar","(16.79493675, 96.1468387, 0.0)",16.79493675,96.1468387
8050,MMR007001019,Ywar Thit,ရွာသစ်,ကျေးရွာအုပ်စု,Village Tract,"ရွာသစ်, ဘော်လခဲခရိုင, ကယားပြည်နယ်‌ (Kayah), Myanmar","(19.166731, 97.499496, 0.0)",19.166731,97.499496
8052,MMR007001021,Tha Pyay Yoe,သပြေရိုး,ကျေးရွာအုပ်စု,Village Tract,"Tha Pyay Yoe သပြေရိုး, ကျောက်ဆည်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.7698319, 96.1102829, 0.0)",21.7698319,96.1102829
8058,MMR007001027,Shan Ywar Gyi,ရှမ်းရွာကြီး,ကျေးရွာအုပ်စု,Village Tract,"Shan Ywar Gyi ရှမ်းရွာကြီး, ကျောက်ဆည်ခရိုင်, မန္တလေးတိုင်း, Myanmar","(21.6024832, 96.19531, 0.0)",21.602483199999998,96.19530999999999
8064,MMR007001033,Pauk Taw,ပေါက်တော,ကျေးရွာအုပ်စု,Village Tract,"ပေါက်တော, စစ်တွေခရိုင, ရခိုင်ပြည်နယ် (Rakhine), Myanmar","(20.1825232, 93.0684364, 0.0)",20.1825232,93.06843640000001
